work_id,composer,title,catalog_system,catalog_number,recording_count
work_2e94aa9e2dd3,"Bach, Johann Sebastian","Bach, Mass in B minor - [Kyrie] Chorus: Kyrie eleison",,,1
work_c08e8f75b245,"Bach, Johann Sebastian","Bach, Mass in B minor - [Kyrie] Duet: Christe eleison",,,1
work_21921edc21a2,"Bach, Johann Sebastian","Bach, Mass in B minor - [Sanctus] Chorus: Osanna (da capo)",,,1
work_3a1ac38b6380,"Bach, Johann Sebastian","Bach, Mass in B minor - [Sanctus] Chorus: Osanna in excelsis",,,1
work_07483c27d75a,"Bach, Johann Sebastian","Bach, Mass in B minor - [Sanctus] Chorus: Sanctus",,,1
work_54b93ea66800,"Bach, Johann Sebastian",Brandenburg Concerti CD1,,,1
work_cd454fe583ca,"Bach, Johann Sebastian",Canon alla Decima in Contrapuncto alla Terza,,,1
work_885d8c3efae4,"Bach, Johann Sebastian",Canon alla Duodecima in Contrapuncto alla Quinta,,,1
work_66b1df82b3c5,"Bach, Johann Sebastian",Canon alla Ottava,,,1
work_276ada94906c,"Bach, Johann Sebastian",Canon per Augmentationem in Contrario Motu,,,1
work_47a8253d07fa,"Bach, Johann Sebastian",Contrapunctus I,,,1
work_2c8d68382335,"Bach, Johann Sebastian",Contrapunctus II,,,1
work_10b24721ff35,"Bach, Johann Sebastian",Contrapunctus III,,,1
work_dc1e61408c1f,"Bach, Johann Sebastian",Contrapunctus IV,,,1
work_d7829253cd0e,"Bach, Johann Sebastian","Contrapunctus IX, a 4, alla Duodecima",,,1
work_0884c0aae5fd,"Bach, Johann Sebastian",Contrapunctus V,,,1
work_a3f2194b638d,"Bach, Johann Sebastian","Contrapunctus VI, a 4, in Stylo Francese",,,1
work_077370613658,"Bach, Johann Sebastian","Contrapunctus VII, a 4, per Augmentationem et Diminutionem",,,1
work_1a0feabd165e,"Bach, Johann Sebastian","Contrapunctus VIII, a 3",,,1
work_2add9cf10d6c,"Bach, Johann Sebastian","Contrapunctus X, a 4, alla Decima",,,1
work_fd9608cd9128,"Bach, Johann Sebastian","Contrapunctus XI, a 4",,,1
work_c2c08e9d45e5,"Bach, Johann Sebastian","Contrapunctus XII, a 4 - Inversus",,,1
work_1a0980c7341b,"Bach, Johann Sebastian","Contrapunctus XII, a 4 - Rectus",,,1
work_0d8cf72d3a49,"Bach, Johann Sebastian","Contrapunctus XIII, a 3 - Inversus",,,1
work_3d6a1a0bbc14,"Bach, Johann Sebastian","Contrapunctus XIII, a 3 - Rectus",,,1
work_7b81fb3f0522,"Bach, Johann Sebastian",Contrapunctus XIV (Fragment of quadruple fugue),,,1
work_680f13410271,"Bach, Johann Sebastian","""Vor deinen Thron tret ich hiermit""",BWV,668a,1
work_77dd27cd3594,"Bach, Johann Sebastian","Concerto for Violin, Strings and Continuo in A minor",BWV,1041,1
work_468ef632edf8,"Bach, Johann Sebastian","Concerto for Violin, Strings and Continuo in E major",BWV,1042,1
work_b186fdeb89c1,"Bach, Johann Sebastian",Concerto for 2 Violins in D minor,BWV,1043,1
work_5c758566143b,"Bach, Johann Sebastian","Concerto for Flute, Violin, Harpsichord, Strings and Basso Continuo in A minor",BWV,1044,1
work_acc6e98962d0,"Bach, Johann Sebastian",Concerto for Harpsichord and Strings in D minor,BWV,1052,1
work_cb71f3834e4b,"Bach, Johann Sebastian",Concerto for Harpsichord and Strings in E major,BWV,1053,1
work_d96e2ca940c8,"Bach, Johann Sebastian",Concerto for Harpsichord and Strings in D major,BWV,1054,1
work_1849782f02da,"Bach, Johann Sebastian",Concerto for Harpischord & Strings in A major,BWV,1055,1
work_d17d68f0ed3b,"Bach, Johann Sebastian",Concerto for Harpischord & Strings in F minor,BWV,1056,1
work_f22952d4afa7,"Bach, Johann Sebastian","Concerto for Harpischord, 2 Recorders & Strings in F major",BWV,1057,1
work_7db7e3f1ac0b,"Bach, Johann Sebastian",Concerto for Harpsichord & Strings in G minor,BWV,1058,1
work_52c044d08bc5,"Bach, Johann Sebastian",Concerto for 2 Harpsichords & Strings in C minor,BWV,1060,1
work_5e4c79e17990,"Bach, Johann Sebastian",Concerto for 2 Harpsichords and Strings in C major,BWV,1061,1
