path,genre_primary,current_albumartist,current_album,current_title,current_artist,current_track,current_disc,flat_albumartist,flat_album,flat_title,flat_artist,flat_genre,flat_track,flat_disc,flat_date,flat_grouping,changed
"Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/01. Bach - Concerto Brandebourgeois n°1, BWV 1046 - I. Allegro.mp3",Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,1,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)","01. Bach - Concerto Brandebourgeois n°1, BWV 1046 - I. Allegro.mp3","Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,1,1968,Brandenburg Concerti CD1,yes
Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/02. II. Adagio.mp3,Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,1,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)",02. II. Adagio.mp3,"Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,1,1968,Brandenburg Concerti CD1,yes
Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/03. III. Allegro.mp3,Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,1,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)",03. III. Allegro.mp3,"Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,1,1968,Brandenburg Concerti CD1,yes
Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/04. IV. Menuet.mp3,Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,1,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)",04. IV. Menuet.mp3,"Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,1,1968,Brandenburg Concerti CD1,yes
"Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/05. Bach - Concerto Brandebourgeois n°2, BWV 1047 - I. Allegro.mp3",Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,1,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)","05. Bach - Concerto Brandebourgeois n°2, BWV 1047 - I. Allegro.mp3","Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,1,1968,Brandenburg Concerti CD1,yes
Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/06. II. Andante.mp3,Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,1,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)",06. II. Andante.mp3,"Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,1,1968,Brandenburg Concerti CD1,yes
Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/07. III. Allegro assai.mp3,Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,1,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)",07. III. Allegro assai.mp3,"Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,1,1968,Brandenburg Concerti CD1,yes
"Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/08. Bach - Concerto Brandebourgeois n°3, BWV 1048 - I. Allegro - Agitato.mp3",Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,1,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)","08. Bach - Concerto Brandebourgeois n°3, BWV 1048 - I. Allegro - Agitato.mp3","Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,1,1968,Brandenburg Concerti CD1,yes
Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/09. II. Adagio.mp3,Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,1,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)",09. II. Adagio.mp3,"Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,1,1968,Brandenburg Concerti CD1,yes
Bach - Brandenburg Concertos - Otto Klemperer - Philharmonia - EMI/CD 1/10. III. Allegro.mp3,Classical,,BACH - Brandenburg Concerti CD1,,"Philharmonia Orchestra, O.Klemperer",,1,Bach,"Brandenburg Concerti CD1 - Otto Klemperer, Philharmonia Orchestra (1968)",10. III. Allegro.mp3,"Otto Klemperer, Philharmonia Orchestra, O.Klemperer",Classical,,1,1968,Brandenburg Concerti CD1,yes
