path,genre_primary,current_albumartist,current_album,current_title,current_artist,current_track,current_disc,flat_albumartist,flat_album,flat_title,flat_artist,flat_genre,flat_track,flat_disc,flat_date,flat_grouping,changed
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 4/20 - Aus Liebe Will Mein Heiland Sterben.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Aus Liebe Will Mein Heiland Sterben,Gardiner - English Baroque Soloists,20,4,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Aus Liebe Will Mein Heiland Sterben,Gardiner - English Baroque Soloists,Classical,20,4,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 4/21 - Sie Schrieen Aber Noch Mehr.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Sie Schrieen Aber Noch Mehr,Gardiner - English Baroque Soloists,21,4,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Sie Schrieen Aber Noch Mehr,Gardiner - English Baroque Soloists,Classical,21,4,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 4/22 - Scourging of Jesus - Erbarm Es Gott!.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Scourging of Jesus - Erbarm Es Gott!,Gardiner - English Baroque Soloists,22,4,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Scourging of Jesus - Erbarm Es Gott!,Gardiner - English Baroque Soloists,Classical,22,4,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 4/23 - Konnen Tranen Meiner Wangen.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Konnen Tranen Meiner Wangen,Gardiner - English Baroque Soloists,23,4,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Konnen Tranen Meiner Wangen,Gardiner - English Baroque Soloists,Classical,23,4,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/01 - (Evangelista) 'Da Nahmen Die Kriegsknechte'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),(Evangelista) 'Da Nahmen Die Kriegsknechte',Gardiner - English Baroque Soloists,1,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),(Evangelista) 'Da Nahmen Die Kriegsknechte',Gardiner - English Baroque Soloists,Classical,1,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/02 - Choral 'O Haupt Voll Blut Und Wunden'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Choral 'O Haupt Voll Blut Und Wunden',Gardiner - English Baroque Soloists,2,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Choral 'O Haupt Voll Blut Und Wunden',Gardiner - English Baroque Soloists,Classical,2,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/03 - (Evangelista) 'Und Da Sie Ihn Verspottet Hatten'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),(Evangelista) 'Und Da Sie Ihn Verspottet Hatten',Gardiner - English Baroque Soloists,3,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),(Evangelista) 'Und Da Sie Ihn Verspottet Hatten',Gardiner - English Baroque Soloists,Classical,3,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/04 - Recitativo (Bass) 'Ja Freilich Will In Uns Das Fleisch Und Blut'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Recitativo (Bass) 'Ja Freilich Will In Uns Das Fleisch Und Blut',Gardiner - English Baroque Soloists,4,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Recitativo (Bass) 'Ja Freilich Will In Uns Das Fleisch Und Blut',Gardiner - English Baroque Soloists,Classical,4,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/05 - Aria (Bass) 'Komm, Susses Kreuz, So Will Ich Sagen'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Aria (Bass) 'Komm, Susses Kreuz, So Will Ich Sagen'",Gardiner - English Baroque Soloists,5,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Aria (Bass) 'Komm, Susses Kreuz, So Will Ich Sagen'",Gardiner - English Baroque Soloists,Classical,5,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/06 - (Evangelista) 'Und Da Sie An Die Statte Kamen'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),(Evangelista) 'Und Da Sie An Die Statte Kamen',Gardiner - English Baroque Soloists,6,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),(Evangelista) 'Und Da Sie An Die Statte Kamen',Gardiner - English Baroque Soloists,Classical,6,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/07 - Recitativo (Alt) 'Ach Golgatha'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Recitativo (Alt) 'Ach Golgatha',Gardiner - English Baroque Soloists,7,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Recitativo (Alt) 'Ach Golgatha',Gardiner - English Baroque Soloists,Classical,7,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/08 - Aria (Alt) 'Sehet, Jesus Hat Die Hand' Chorus 'Wohin'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Aria (Alt) 'Sehet, Jesus Hat Die Hand' Chorus 'Wohin'",Gardiner - English Baroque Soloists,8,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Aria (Alt) 'Sehet, Jesus Hat Die Hand' Chorus 'Wohin'",Gardiner - English Baroque Soloists,Classical,8,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/09 - (Evangelista, Jesus) 'Und Von Der Sechsten Stunde An'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"(Evangelista, Jesus) 'Und Von Der Sechsten Stunde An'",Gardiner - English Baroque Soloists,9,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"(Evangelista, Jesus) 'Und Von Der Sechsten Stunde An'",Gardiner - English Baroque Soloists,Classical,9,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/10 - Choral 'Wenn Ich Einmal Soll Scheiden'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Choral 'Wenn Ich Einmal Soll Scheiden',Gardiner - English Baroque Soloists,10,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Choral 'Wenn Ich Einmal Soll Scheiden',Gardiner - English Baroque Soloists,Classical,10,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/11 - (Evangelista) 'Und Siehe Da, Der Vorhang Im Tempel Zerriss'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"(Evangelista) 'Und Siehe Da, Der Vorhang Im Tempel Zerriss'",Gardiner - English Baroque Soloists,11,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"(Evangelista) 'Und Siehe Da, Der Vorhang Im Tempel Zerriss'",Gardiner - English Baroque Soloists,Classical,11,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/12 - Recitativo (Bass) 'Am Abend, Da Es Kuhle War'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Recitativo (Bass) 'Am Abend, Da Es Kuhle War'",Gardiner - English Baroque Soloists,12,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Recitativo (Bass) 'Am Abend, Da Es Kuhle War'",Gardiner - English Baroque Soloists,Classical,12,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/13 - Aria (Bass) 'Mache Dich, Mein Herze, Rein'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Aria (Bass) 'Mache Dich, Mein Herze, Rein'",Gardiner - English Baroque Soloists,13,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Aria (Bass) 'Mache Dich, Mein Herze, Rein'",Gardiner - English Baroque Soloists,Classical,13,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/14 - (Evangelista) 'Und Joseph Nahm Den Leib'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),(Evangelista) 'Und Joseph Nahm Den Leib',Gardiner - English Baroque Soloists,14,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),(Evangelista) 'Und Joseph Nahm Den Leib',Gardiner - English Baroque Soloists,Classical,14,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/15 - Recitativo (Sopran, Alt, Tenor, Bass) 'Nun Is Der Herr Zur Ruh Gebracht' - Chorus 'Mein Jesu, Gute Nacht'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Recitativo (Sopran, Alt, Tenor, Bass) 'Nun Is Der Herr Zur Ruh Gebracht' - Chorus 'Mein Jesu, Gute Nacht'",Gardiner - English Baroque Soloists,15,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Recitativo (Sopran, Alt, Tenor, Bass) 'Nun Is Der Herr Zur Ruh Gebracht' - Chorus 'Mein Jesu, Gute Nacht'",Gardiner - English Baroque Soloists,Classical,15,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 5/16 - Chorus 'Wir Setzen Uns Mit Tranen Nieder'.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Chorus 'Wir Setzen Uns Mit Tranen Nieder',Gardiner - English Baroque Soloists,16,5,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Chorus 'Wir Setzen Uns Mit Tranen Nieder',Gardiner - English Baroque Soloists,Classical,16,5,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/01 - Part. 1 - Erster Teil - Betrayal and Arrest - Herr, unser Herrscher(Chorus).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Part. 1 - Erster Teil - Betrayal and Arrest - Herr, unser Herrscher(Chorus)",Gardiner - English Baroque Soloists,1,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Part. 1 - Erster Teil - Betrayal and Arrest - Herr, unser Herrscher(Chorus)",Gardiner - English Baroque Soloists,Classical,1,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/02 - Jesus ging mit seinen Jungern(Recitative).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Jesus ging mit seinen Jungern(Recitative),Gardiner - English Baroque Soloists,2,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Jesus ging mit seinen Jungern(Recitative),Gardiner - English Baroque Soloists,Classical,2,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/03 - O grosse Lieb, o Lieb ohn' alle Masse(chorale).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"O grosse Lieb, o Lieb ohn' alle Masse(chorale)",Gardiner - English Baroque Soloists,3,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"O grosse Lieb, o Lieb ohn' alle Masse(chorale)",Gardiner - English Baroque Soloists,Classical,3,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/04 - Auf dass das Wort erfullet wurde(Recitative).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Auf dass das Wort erfullet wurde(Recitative),Gardiner - English Baroque Soloists,4,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Auf dass das Wort erfullet wurde(Recitative),Gardiner - English Baroque Soloists,Classical,4,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/05 - Dein Will gescheh, Herr Gott, zugleich(Chorale).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Dein Will gescheh, Herr Gott, zugleich(Chorale)",Gardiner - English Baroque Soloists,5,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Dein Will gescheh, Herr Gott, zugleich(Chorale)",Gardiner - English Baroque Soloists,Classical,5,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/06 - Die Schar aber und der Oberhauptmann(Recitative).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Die Schar aber und der Oberhauptmann(Recitative),Gardiner - English Baroque Soloists,6,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Die Schar aber und der Oberhauptmann(Recitative),Gardiner - English Baroque Soloists,Classical,6,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/07 - Von den Stricken meiner Suden(Aria-Alto).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Von den Stricken meiner Suden(Aria-Alto),Gardiner - English Baroque Soloists,7,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Von den Stricken meiner Suden(Aria-Alto),Gardiner - English Baroque Soloists,Classical,7,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/08 - Denial - Simon Petrus aber folgete Jesu nach(Recitative).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Denial - Simon Petrus aber folgete Jesu nach(Recitative),Gardiner - English Baroque Soloists,8,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Denial - Simon Petrus aber folgete Jesu nach(Recitative),Gardiner - English Baroque Soloists,Classical,8,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/09 - Ich folge dir gleichfalls mit freudigen(Aria - Soprano).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Ich folge dir gleichfalls mit freudigen(Aria - Soprano),Gardiner - English Baroque Soloists,9,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Ich folge dir gleichfalls mit freudigen(Aria - Soprano),Gardiner - English Baroque Soloists,Classical,9,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/10 - Derselbige Junger war dem Hohenpriester(Recitative).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Derselbige Junger war dem Hohenpriester(Recitative),Gardiner - English Baroque Soloists,10,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Derselbige Junger war dem Hohenpriester(Recitative),Gardiner - English Baroque Soloists,Classical,10,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/11 - Wer hat dich so geschlagen(Chorale).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Wer hat dich so geschlagen(Chorale),Gardiner - English Baroque Soloists,11,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Wer hat dich so geschlagen(Chorale),Gardiner - English Baroque Soloists,Classical,11,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/12 - Und Hannas sandte ihn gebunden zu dem Ho(Recitative).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Und Hannas sandte ihn gebunden zu dem Ho(Recitative),Gardiner - English Baroque Soloists,12,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Und Hannas sandte ihn gebunden zu dem Ho(Recitative),Gardiner - English Baroque Soloists,Classical,12,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/13 - Ach, mein Sinn, wo willt du endlich hin(Aria - Tenor).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Ach, mein Sinn, wo willt du endlich hin(Aria - Tenor)",Gardiner - English Baroque Soloists,13,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Ach, mein Sinn, wo willt du endlich hin(Aria - Tenor)",Gardiner - English Baroque Soloists,Classical,13,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/14 - Petrus, der nicht denkt zuruck(Chorale).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Petrus, der nicht denkt zuruck(Chorale)",Gardiner - English Baroque Soloists,14,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Petrus, der nicht denkt zuruck(Chorale)",Gardiner - English Baroque Soloists,Classical,14,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/15 - Part. 2 - Zweiter Teil - Interrogation and Scourging - Christus, der uns selig macht(Chorale).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Part. 2 - Zweiter Teil - Interrogation and Scourging - Christus, der uns selig macht(Chorale)",Gardiner - English Baroque Soloists,15,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Part. 2 - Zweiter Teil - Interrogation and Scourging - Christus, der uns selig macht(Chorale)",Gardiner - English Baroque Soloists,Classical,15,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/16 - Da fuhreten sie Jesum von Kaiphas(Recitative).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Da fuhreten sie Jesum von Kaiphas(Recitative),Gardiner - English Baroque Soloists,16,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Da fuhreten sie Jesum von Kaiphas(Recitative),Gardiner - English Baroque Soloists,Classical,16,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/17 - Ach grosser Konig, gross zu allen Zeiten(Chorale).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Ach grosser Konig, gross zu allen Zeiten(Chorale)",Gardiner - English Baroque Soloists,17,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Ach grosser Konig, gross zu allen Zeiten(Chorale)",Gardiner - English Baroque Soloists,Classical,17,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/18 - Da sprach Pilatus zu ihnen(Recitative).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Da sprach Pilatus zu ihnen(Recitative),Gardiner - English Baroque Soloists,18,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Da sprach Pilatus zu ihnen(Recitative),Gardiner - English Baroque Soloists,Classical,18,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/19 - Betrachte, mein Seel((Arioso - Bass).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Betrachte, mein Seel((Arioso - Bass)",Gardiner - English Baroque Soloists,19,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Betrachte, mein Seel((Arioso - Bass)",Gardiner - English Baroque Soloists,Classical,19,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 6/20 - Erwage, wie sein blutgefarrbter Rucken(Aria - Tenor).flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Erwage, wie sein blutgefarrbter Rucken(Aria - Tenor)",Gardiner - English Baroque Soloists,20,6,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Erwage, wie sein blutgefarrbter Rucken(Aria - Tenor)",Gardiner - English Baroque Soloists,Classical,20,6,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 7/01 - Condemnation and Crucifixion - Und die Kriegsknechte flochten eine Kron.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Condemnation and Crucifixion - Und die Kriegsknechte flochten eine Kron,Gardiner - English Baroque Soloists,1,7,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Condemnation and Crucifixion - Und die Kriegsknechte flochten eine Kron,Gardiner - English Baroque Soloists,Classical,1,7,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 7/02 - Durch dein Gefangnis, Gottes Sohn.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),"Durch dein Gefangnis, Gottes Sohn",Gardiner - English Baroque Soloists,2,7,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),"Durch dein Gefangnis, Gottes Sohn",Gardiner - English Baroque Soloists,Classical,2,7,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 7/03 - Die Juden aber schrieen und sprachen.flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Die Juden aber schrieen und sprachen,Gardiner - English Baroque Soloists,3,7,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Die Juden aber schrieen und sprachen,Gardiner - English Baroque Soloists,Classical,3,7,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
"Bach - Sacred Vocal Works (2004) [FLAC] {Gardiner, Archiv}/CD 7/04 - Eilt ihr angefochtnen Seelen - Wohin .flac",Classical,,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1),Eilt ihr angefochtnen Seelen - Wohin?,Gardiner - English Baroque Soloists,4,7,Unknown Artist,J.S. Bach - Christmas Oratorio BWV 248 Part One - Part 1(Disc 1) (1989),Eilt ihr angefochtnen Seelen - Wohin?,Gardiner - English Baroque Soloists,Classical,4,7,1989,"Part One - Jauchzet, frohlocket, auf, preiset die Tage (Chorus)",yes
