track_id,release_id,path,genre_primary,rating,collections,composer,work_title,catalog_system,catalog_number,movement_number,movement_name,title,artist_raw,soloists,ensembles,conductor,conductor_source,conductor_confidence,conductor_candidate,album,album_artist,disc_number,disc_subtitle,track_number,release_year,recording_year,label,catalog_number_release,source_medium,quality_tier,codec,bit_depth,sample_rate,channels,duration_seconds,size_bytes,isrc,is_container_release
trk_2a05f14adb8a,rel_b90b8ce31f58,"2004 - Knoxville Summer of 1915 - Essays for Orchestra Nos. 2 & 3/02 - Second Essay for Orchestra, op. 17.flac",Classical,,,,Second Essay for Orchestra,Op,17,,,"Second Essay for Orchestra, op. 17","Marin Alsop, Royal Scottish National Orchestra",Marin Alsop,Royal Scottish National Orchestra,,,,Marin Alsop,"Samuel Barber - Orchestral Works, Volume 5",,,,2,2004,1915,,,Unknown,Redbook,flac,16,44100,2,682.3,51241244,,False
trk_871f181c3c8d,rel_b90b8ce31f58,"2004 - Knoxville Summer of 1915 - Essays for Orchestra Nos. 2 & 3/03 - Third Essay for Orchestra, op. 47.flac",Classical,,,,Third Essay for Orchestra,Op,47,,,"Third Essay for Orchestra, op. 47","Marin Alsop, Royal Scottish National Orchestra",Marin Alsop,Royal Scottish National Orchestra,,,,Marin Alsop,"Samuel Barber - Orchestral Works, Volume 5",,,,3,2004,1915,,,Unknown,Redbook,flac,16,44100,2,862.7,55869739,,False
trk_ac98dad7bb3b,rel_b90b8ce31f58,"2004 - Knoxville Summer of 1915 - Essays for Orchestra Nos. 2 & 3/04 - Toccata Festiva, op. 36.flac",Classical,,,,Toccata Festiva,Op,36,,,"Toccata Festiva, op. 36","Marin Alsop, Royal Scottish National Orchestra",Marin Alsop,Royal Scottish National Orchestra,,,,Marin Alsop,"Samuel Barber - Orchestral Works, Volume 5",,,,4,2004,1915,,,Unknown,Redbook,flac,16,44100,2,857.5,55624454,,False
trk_92051c57f9a4,rel_872898c1084b,"Alban Berg - 3 Orchesterstuecke Op.6, 7 fruehe Lieder, Der Wein (Abbado, von Otter)/Alban Berg - 3 Orchesterstuecke Op.6, 7 fruehe Lieder, Der Wein.ape",Classical,,,,3 Orchesterstuecke,Op,6,,,,,,,Claudio Abbado,folder_path,high,,"Alban Berg - 3 Orchesterstuecke Op.6, 7 fruehe Lieder, Der Wein",,,,,,,,,Unknown,Redbook,ape,16,44100,2,2965.4,198182724,,True
trk_18f3573722ac,rel_420d263b07dd,"Alban Berg - Chamber Concerto, 4 Pieces for Clarinet & Piano & Piano Sonata (Boulez; Barenboim, Zukerman)/Alban Berg - Chamber Concerto, 4 Pieces for Clarinet & Piano & Piano Sonata.ape",Classical,,,,Alban Berg,,,,,,,,,,,,,"Alban Berg - Chamber Concerto, 4 Pieces for Clarinet & Piano & Piano Sonata",,,,,,,,,Unknown,Redbook,ape,16,44100,2,2962.1,171716084,,True
trk_2f691b5a2a4b,rel_b94120f2beca,"Alban Berg - Lulu Suite, 3 Orchesterstuecke op.6, 5 Orchesterlieder op.4 (Abbado; Price)/Alban Berg - Lulu Suite, Drei Orchesterstuecke op.6, Fuenf Orchesterlieder op.4.ape",,,,,Alban Berg,,,,,,,,,,,,,"Alban Berg - Lulu Suite, 3 Orchesterstuecke op.6, 5 Orchesterlieder op.4",,,,,,,,,Unknown,Redbook,ape,16,44100,2,3985.4,283207412,,True
trk_34b572c1a4f1,rel_17efac67673f,"Albeniz, Isaac- Iberia (Book 1&2), Espana - Barenboim/CD.flac",A Cappella,,,,"Albeniz, Isaac- Iberia , Espana",,,,,,,,,,,,,"Albeniz, Isaac- Iberia , Espana - Barenboim",,,,2,,,,,Unknown,Redbook,flac,16,44100,2,3744.9,202067902,,True
trk_6e8ee3a3f4ea,rel_c6a5de5221ea,"Amoyal - Saint-Saëns Violin Concerto No.3, Respighi  Concerto gregoriano/01 Saint-Saëns , Violin Concerto No.3 in B minor Op.61- 1. Allegro non troppo.ape",Classical,,,,Amoyal,,,,,,,,,,,,,"Amoyal - Saint-Saëns Violin Concerto No.3, Respighi  Concerto gregoriano",,,,,,,,,Unknown,Redbook,ape,16,44100,2,532.3,39669660,,False
trk_c75dc3403e2c,rel_c6a5de5221ea,"Amoyal - Saint-Saëns Violin Concerto No.3, Respighi  Concerto gregoriano/02 Saint-Saëns , Violin Concerto No.3 in B minor Op.61- 2. Andantino quasi allegretto.ape",Classical,,,,Amoyal,,,,,,,,,,,,,"Amoyal - Saint-Saëns Violin Concerto No.3, Respighi  Concerto gregoriano",,,,,,,,,Unknown,Redbook,ape,16,44100,2,462.3,32772520,,False
trk_3824a52d3682,rel_c6a5de5221ea,"Amoyal - Saint-Saëns Violin Concerto No.3, Respighi  Concerto gregoriano/03 Saint-Saëns , Violin Concerto No.3 in B minor Op.61- 3. Molto moderato e maestoso.ape",Classical,,,,Amoyal,,,,,,,,,,,,,"Amoyal - Saint-Saëns Violin Concerto No.3, Respighi  Concerto gregoriano",,,,,,,,,Unknown,Redbook,ape,16,44100,2,640.2,49559264,,False
trk_741f3b82385b,rel_c6a5de5221ea,"Amoyal - Saint-Saëns Violin Concerto No.3, Respighi  Concerto gregoriano/04 Respighi , Concerto gregoriano- 1. Andante tranquillo.ape",Classical,,,,Amoyal,,,,,,,,,,,,,"Amoyal - Saint-Saëns Violin Concerto No.3, Respighi  Concerto gregoriano",,,,,,,,,Unknown,Redbook,ape,16,44100,2,486.2,36205584,,False
trk_dec946ba6fa1,rel_c6a5de5221ea,"Amoyal - Saint-Saëns Violin Concerto No.3, Respighi  Concerto gregoriano/05 Respighi , Concerto gregoriano- 2. Andante espressivo e sostenuto.ape",Classical,,,,Amoyal,,,,,,,,,,,,,"Amoyal - Saint-Saëns Violin Concerto No.3, Respighi  Concerto gregoriano",,,,,,,,,Unknown,Redbook,ape,16,44100,2,601.0,44483744,,False
trk_49f2a3a736b6,rel_c6a5de5221ea,"Amoyal - Saint-Saëns Violin Concerto No.3, Respighi  Concerto gregoriano/06 Respighi , Concerto gregoriano- 3. Finale (Alleluia)- Allegro energico.ape",Classical,,,,Amoyal,,,,,,,,,,,,,"Amoyal - Saint-Saëns Violin Concerto No.3, Respighi  Concerto gregoriano",,,,,,,,,Unknown,Redbook,ape,16,44100,2,674.5,52170640,,False
