confidence,kind,key,count,reclaimable_gb,quality_tiers,paths
high,identical_content,Anton Bruckner - Symphony No.7 in E major,2,0.27,Redbook | Redbook,"Bruckner 7 Variants/11. E.Jochum, Staatskapelle Dresden. 1976 | Bruckner 7/11. E.Jochum, Staatskapelle Dresden. 1976"
high,identical_content,"08. S.Celibidache, Stuttgart Radio Symphony Orchestra. 1971",2,0.27,Redbook | Redbook,"Bruckner 7 Variants/08. S.Celibidache, Stuttgart Radio Symphony Orchestra. 1971 | Bruckner 7/08. S.Celibidache, Stuttgart Radio Symphony Orchestra. 1971"
high,identical_content,Bruckner;Symphony No.7,2,0.27,Redbook | Redbook,"Bruckner 7 Variants/02. E.Beinum, Concertgebouw. 1947 | Bruckner 7/02. E.Beinum, Concertgebouw. 1947"
high,identical_content,Bruckner; Symphony No.7,2,0.26,Redbook | Redbook,"Bruckner 7 Variants/20. C.Abbado, Wiener Philharmoniker. 1992 | Bruckner 7/20. C.Abbado, Wiener Philharmoniker. 1992"
high,identical_content,"06. E.Mravinsky, Leningrad Philharmonic. 1967",2,0.26,Redbook | Redbook,"Bruckner 7 Variants/06. E.Mravinsky, Leningrad Philharmonic. 1967 | Bruckner 7/06. E.Mravinsky, Leningrad Philharmonic. 1967"
high,identical_content,Bruckner 7,2,0.26,Redbook | Redbook,"Bruckner 7 Variants/05. O.Klemperer, Philharmonia Orchestra. 1960 | Bruckner 7/05. O.Klemperer, Philharmonia Orchestra. 1960"
high,identical_content,Bruckner 7,2,0.26,Redbook | Redbook,"Bruckner 7 Variants/22. G.Tintner, Royal Scottish National Orchestra. 1997 | Bruckner 7/22. G.Tintner, Royal Scottish National Orchestra. 1997"
high,identical_content,Bruckner 7,2,0.26,Redbook | Redbook,"Bruckner 7 Variants/18. C. von Dohnanyi, Cleveland Orchestra. 1990 | Bruckner 7/18. C. von Dohnanyi, Cleveland Orchestra. 1990"
high,identical_content,Bruckner; Anton: Symphony No. 7,2,0.26,Redbook | Redbook,"Bruckner 7 Variants/09. H. von Karajan, Berlin Philharmonic. 1971 | Bruckner 7/09. H. von Karajan, Berlin Philharmonic. 1971"
high,identical_content,Bruckner 7,2,0.25,Redbook | Redbook,"Bruckner 7 Variants/17. O.Suitner, Staatskapelle Berlin. 1989 | Bruckner 7/17. O.Suitner, Staatskapelle Berlin. 1989"
high,identical_content,"01. C.Schuricht, Berlin Philharmonic. 1938",2,0.23,Redbook | Redbook,"Bruckner 7 Variants/01. C.Schuricht, Berlin Philharmonic. 1938 | Bruckner 7/01. C.Schuricht, Berlin Philharmonic. 1938"
high,identical_content,Eduard Van Beinum - Concertgebouw Orchestra,2,0.22,Redbook | Redbook,"Bruckner 7 Variants/04. E.Beinum, Concertgebouw. 1953 | Bruckner 7/04. E.Beinum, Concertgebouw. 1953"
high,identical_content,Bruckner;Symphony No.7,2,0.17,Redbook | Redbook,"Bruckner 7 Variants/07. G.Szell, Vienna Philharmonic. 1968 | Bruckner 7/07. G.Szell, Vienna Philharmonic. 1968"
high,identical_content,Ravel Rapsodie espagnole CSO/Barenboim PCM,2,0.16,Unknown | Unknown,Ravel Rapsodie espagnole CSO_Barenboim P | Ravel Rapsodie espagnole CSO_Barenboim PCM
low,same_title_review,Celibidache Volume 1: Symphonies,14,3.86,Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook,Celibidache - Symphonies (2011)/01 | Celibidache - Symphonies (2011)/02 | Celibidache - Symphonies (2011)/03 | Celibidache - Symphonies (2011)/04 | Celibidache - Symphonies (2011)/05 | Celibidache - Symphonies (2011)/06 | Celibidache - Symphonies (2011)/07 | Celibidache - Symphonies (2011)/08 | Celibidache - Symphonies (2011)/09 | Celibidache - Symphonies (2011)/10 | Celibidache - Symphonies (2011)/11 | Celibidache - Symphonies (2011)/12 | Celibidache - Symphonies (2011)/13 | Celibidache - Symphonies (2011)/14
low,same_title_review,Bruckner;Symphony No.7,12,2.85,Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook,"Bruckner 7 Variants/02. E.Beinum, Concertgebouw. 1947 | Bruckner 7 Variants/03. W.Furtwangler, Berlin Philharmonic. 1949 | Bruckner 7 Variants/07. G.Szell, Vienna Philharmonic. 1968 | Bruckner 7 Variants/12. B.Haitink, Concertgebouw. 1978 | Bruckner 7 Variants/16. H. von Karajan, Vienna Philharmonic. 1989 | Bruckner 7 Variants/20. C.Abbado, Wiener Philharmoniker. 1992 | Bruckner 7/02. E.Beinum, Concertgebouw. 1947 | Bruckner 7/03. W.Furtwangler, Berlin Philharmonic. 1949 | Bruckner 7/07. G.Szell, Vienna Philharmonic. 1968 | Bruckner 7/12. B.Haitink, Concertgebouw. 1978 | Bruckner 7/16. H. von Karajan, Vienna Philharmonic. 1989 | Bruckner 7/20. C.Abbado, Wiener Philharmoniker. 1992"
low,same_title_review,Bruckner 7,10,2.31,Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook | Redbook,"Bruckner 7 Variants/05. O.Klemperer, Philharmonia Orchestra. 1960 | Bruckner 7 Variants/14. C.M.Giulini,Vienna Philharmonic. 1986 | Bruckner 7 Variants/17. O.Suitner, Staatskapelle Berlin. 1989 | Bruckner 7 Variants/18. C. von Dohnanyi, Cleveland Orchestra. 1990 | Bruckner 7 Variants/22. G.Tintner, Royal Scottish National Orchestra. 1997 | Bruckner 7/05. O.Klemperer, Philharmonia Orchestra. 1960 | Bruckner 7/14. C.M.Giulini,Vienna Philharmonic. 1986 | Bruckner 7/17. O.Suitner, Staatskapelle Berlin. 1989 | Bruckner 7/18. C. von Dohnanyi, Cleveland Orchestra. 1990 | Bruckner 7/22. G.Tintner, Royal Scottish National Orchestra. 1997"
low,same_title_review,Bruckner: The 9 Symphonies,9,0.80,Lossy | Lossy | Lossy | Lossy | Lossy | Lossy | Lossy | Lossy | Lossy,Bruckner_Complete Symphonies - Barenboim/Bruckner Symphony 1 | Bruckner_Complete Symphonies - Barenboim/Bruckner Symphony 2 | Bruckner_Complete Symphonies - Barenboim/Bruckner Symphony 3 | Bruckner_Complete Symphonies - Barenboim/Bruckner Symphony 4 | Bruckner_Complete Symphonies - Barenboim/Bruckner Symphony 5 | Bruckner_Complete Symphonies - Barenboim/Bruckner Symphony 6 | Bruckner_Complete Symphonies - Barenboim/Bruckner Symphony 7 | Bruckner_Complete Symphonies - Barenboim/Bruckner Symphony 8 | Bruckner_Complete Symphonies - Barenboim/Bruckner Symphony 9
low,same_title_review,Anton Bruckner - Symphony No.7 in E Major,3,0.54,Redbook | Redbook | Redbook,"Bruckner 7 9 Giulini (VPO, live) | Bruckner 7 Variants/11. E.Jochum, Staatskapelle Dresden. 1976 | Bruckner 7/11. E.Jochum, Staatskapelle Dresden. 1976"
low,same_title_review,Bruckner - Symphony No.8,2,0.31,Redbook | Redbook,Bruckner - Symphony No.8 (Carlo Maria Giulini) | Bruckner 8. P.Boulez
low,same_title_review,Beethoven: Symphonies 6 & 7 (F. Reiner),2,0.18,Redbook | Redbook,"Beethoven - Complete Symphonies Reiner CSO/Symphony No. 6 - Chicago SO, 8 & 10.04.1961 | Beethoven - Complete Symphonies Reiner CSO/Symphony No. 7 - Chicago SO, 24.10.1955"
low,same_title_review,Beethoven: Symphonies No.3 & 5 (F. Reiner),2,0.15,Redbook | Redbook,"Beethoven - Complete Symphonies Reiner CSO/Symphony No. 3 - Chicago SO, 04.12.1954 | Beethoven - Complete Symphonies Reiner CSO/Symphony No. 5 - Chicago SO, 04.05.1959"
